Temperature,Humidity,"PM2,5",PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
23.30,49.10,1.60,6.70,16.10,3.80,1.06,10.30,222.00,0
35.10,60.90,5.00,12.20,19.30,20.00,1.50,5.90,576.00,1
24.70,65.10,1.20,4.00,23.40,3.10,1.03,11.10,461.00,0
23.50,50.80,5.50,10.70,26.40,4.10,0.80,11.30,383.00,0
27.70,68.10,11.00,19.60,21.20,9.00,1.33,5.70,420.00,1
39.80,63.60,5.00,19.40,25.10,7.40,2.27,4.50,681.00,2
43.10,69.10,2.40,16.60,30.00,12.20,2.08,5.90,657.00,2
31.00,65.10,7.60,8.90,23.40,4.20,1.11,13.70,580.00,0
23.50,74.60,0.30,6.60,16.80,3.90,1.22,13.10,491.00,0
40.70,64.40,4.00,16.30,30.00,11.10,1.55,6.80,504.00,1
47.00,98.20,104.70,108.80,43.90,31.40,3.08,7.70,494.00,3
27.60,83.30,128.50,138.40,27.90,4.90,1.17,5.10,571.00,1
34.90,68.10,14.50,27.00,31.20,19.50,2.11,4.40,726.00,2
27.70,62.40,0.20,4.60,15.30,5.70,1.06,13.30,239.00,0
36.00,51.60,59.90,82.80,30.50,18.00,1.98,5.30,784.00,2
28.90,48.10,2.20,5.60,23.10,5.90,1.09,10.60,465.00,0
30.20,62.70,3.80,11.40,13.60,7.50,1.02,15.00,270.00,0
22.60,61.00,18.80,25.70,15.00,2.20,1.02,14.70,298.00,0
32.20,95.90,3.00,12.30,32.20,5.50,1.38,6.60,485.00,2
32.60,92.50,5.40,10.90,26.20,12.90,1.32,5.60,377.00,1
35.40,68.80,29.20,40.70,32.60,8.80,1.74,5.60,650.00,1
23.60,40.40,10.70,14.10,26.60,7.40,1.03,14.70,319.00,0
24.90,82.90,3.70,17.60,36.70,29.10,1.72,6.90,536.00,2
29.00,79.70,92.70,112.40,33.20,6.90,1.84,14.00,785.00,2
32.20,79.50,52.10,54.70,20.30,9.30,1.67,8.50,448.00,1
39.50,94.40,32.60,51.00,37.10,28.60,1.80,4.40,654.00,2
31.60,59.50,9.40,14.60,29.80,10.60,1.31,6.30,344.00,1
29.10,68.00,37.50,47.00,30.10,7.90,1.63,7.10,516.00,1
25.90,76.70,13.80,17.90,17.40,5.00,1.20,10.30,251.00,0
20.90,42.50,1.80,5.20,13.00,5.80,1.01,10.70,297.00,0
36.50,102.20,115.90,128.00,27.80,30.80,2.22,4.90,510.00,2
32.30,96.10,52.90,67.10,29.60,9.20,2.44,3.90,534.00,2
35.00,58.70,0.60,7.10,19.90,13.20,1.58,5.10,361.00,1
28.30,71.10,16.10,19.80,19.00,3.20,0.97,10.10,256.00,0
20.50,62.50,5.40,8.90,25.70,8.00,1.12,10.70,463.00,0
26.80,45.70,2.30,8.20,17.90,5.60,0.88,15.40,440.00,0
17.20,64.40,42.70,48.70,20.80,5.90,1.08,12.60,569.00,0
26.80,48.90,32.60,34.30,17.40,5.70,0.92,10.60,233.00,0
33.50,96.20,22.10,41.00,41.60,15.70,2.17,4.40,596.00,2
31.40,76.60,2.30,7.90,24.40,7.60,1.01,13.10,570.00,0
37.20,69.30,120.70,129.30,43.40,12.50,1.93,9.00,529.00,2
45.90,56.90,59.10,79.30,46.90,4.40,1.94,2.80,763.00,3
28.10,67.80,2.00,6.90,21.50,1.10,0.85,11.00,344.00,0
23.10,67.00,2.30,8.10,18.70,7.70,1.13,10.70,543.00,0
30.30,51.20,7.30,18.80,26.30,14.10,1.39,5.20,624.00,1
45.70,100.10,2.00,21.90,31.00,10.00,2.00,4.30,477.00,2
16.40,40.90,25.00,28.30,19.10,4.00,1.15,12.50,459.00,0
24.50,50.70,1.40,8.10,15.30,2.40,1.02,10.60,258.00,0
27.80,99.60,27.20,34.40,40.40,18.40,2.06,4.70,611.00,2
26.80,72.50,20.70,35.20,18.50,13.20,1.72,5.40,662.00,1
41.10,86.10,15.80,34.30,34.90,17.50,1.88,5.00,716.00,2
29.10,71.80,1.60,3.00,23.70,5.60,1.05,12.20,514.00,0
31.00,74.10,11.10,14.50,20.90,9.90,0.86,14.40,353.00,0
35.20,71.90,0.70,5.30,26.60,5.20,0.98,11.20,442.00,0
25.40,74.20,7.80,13.00,28.00,9.80,0.97,12.30,308.00,0
26.60,63.60,8.90,13.50,30.80,7.90,1.00,13.50,221.00,0
24.40,79.30,12.90,18.30,26.10,5.60,1.20,21.70,449.00,0
42.90,94.80,37.20,58.60,25.60,12.30,1.95,6.70,490.00,2
40.40,65.10,33.10,55.60,35.30,17.90,1.82,5.30,440.00,2
37.50,87.00,43.40,58.70,43.70,21.80,1.79,8.20,484.00,2
26.50,60.40,14.50,17.00,23.40,8.00,1.13,12.50,396.00,0
27.60,73.50,18.00,24.30,24.20,5.30,0.80,17.70,311.00,0
21.00,54.30,7.50,11.70,19.50,4.40,1.05,10.10,569.00,0
44.10,89.40,18.70,39.90,29.30,18.10,1.87,4.20,450.00,2
27.50,69.50,2.40,10.00,22.20,5.80,0.99,11.10,462.00,0
34.50,45.90,2.70,8.00,28.50,4.40,0.94,12.30,384.00,0
24.70,78.00,9.30,13.90,19.30,2.40,0.92,10.70,599.00,0
20.90,68.00,3.90,11.20,19.70,5.90,1.05,14.30,416.00,0
17.80,57.70,1.20,6.80,27.10,3.00,0.95,10.90,453.00,0
35.10,75.60,2.80,21.00,31.90,5.90,2.06,5.50,766.00,2
43.60,104.20,64.70,85.90,38.60,4.50,2.72,5.80,676.00,3
23.90,70.20,4.10,6.00,24.00,1.80,1.03,12.20,458.00,0
48.80,101.30,25.50,50.10,37.50,38.70,2.87,3.00,544.00,3
25.40,50.50,19.20,26.30,13.70,7.80,0.99,12.00,317.00,0
29.40,51.60,29.30,40.20,27.90,11.20,1.72,5.80,591.00,1
30.60,61.90,1.10,5.20,21.00,7.40,0.93,10.50,406.00,0
26.90,63.40,4.70,10.20,19.40,7.50,1.03,11.00,368.00,0
28.60,59.70,26.20,52.20,32.70,7.10,2.04,4.00,769.00,2
31.40,70.00,19.80,30.50,28.60,13.30,1.86,14.60,364.00,1
43.70,83.80,14.10,54.00,41.90,20.50,2.47,2.90,914.00,3
29.90,96.20,16.20,29.30,35.50,18.20,1.85,3.40,444.00,2
24.70,65.40,0.00,2.30,21.90,3.90,0.99,13.70,410.00,0
23.90,69.10,18.20,24.00,21.10,2.10,0.94,10.10,373.00,0
42.10,80.60,30.90,41.80,36.90,12.00,2.09,4.30,437.00,2
22.20,98.70,13.20,35.80,24.00,12.60,1.54,3.80,471.00,2
42.10,74.00,3.90,21.40,34.40,20.70,1.69,3.70,611.00,2
23.60,45.60,7.90,9.20,20.80,6.90,1.19,11.10,521.00,0
32.00,95.20,28.60,41.80,38.30,23.00,2.11,6.40,435.00,2
30.50,76.20,9.30,19.70,32.20,6.50,1.97,6.60,424.00,1
33.90,74.70,3.50,15.20,31.00,10.90,1.41,7.20,678.00,1
39.00,96.80,66.60,99.70,45.60,15.20,2.20,5.50,613.00,3
37.60,87.70,13.40,32.00,30.30,13.10,2.41,7.90,825.00,2
33.90,72.80,22.70,30.80,26.10,15.30,1.98,5.60,598.00,1
33.20,62.20,6.30,15.70,19.00,1.10,1.14,11.30,546.00,0
43.50,71.90,25.10,44.10,38.40,18.80,1.80,6.20,569.00,2
56.50,113.50,74.60,93.90,36.90,22.20,2.20,3.60,690.00,3
21.00,94.30,37.70,55.30,33.50,13.60,1.52,4.10,722.00,2
43.60,89.80,21.30,35.60,49.90,19.80,2.72,7.00,614.00,3
32.70,82.00,64.90,78.40,30.50,-1.90,1.93,3.40,766.00,2
31.70,59.30,6.90,16.70,29.40,7.00,1.37,11.90,323.00,1
29.70,61.80,1.60,5.10,15.10,5.90,0.99,11.70,336.00,0
23.60,69.50,2.60,7.00,19.50,6.30,1.12,14.70,512.00,0
25.60,72.60,7.90,10.60,16.80,7.80,0.90,16.80,376.00,0
30.20,74.50,18.30,25.00,23.30,4.20,0.87,12.00,499.00,0
26.00,78.80,27.60,42.30,30.90,6.30,1.79,7.70,584.00,1
34.40,90.00,4.90,16.40,14.60,12.60,1.71,6.80,488.00,2
34.10,61.40,6.80,16.30,41.30,15.30,1.57,7.30,624.00,1
28.90,74.70,8.00,19.10,28.90,1.50,1.56,8.50,541.00,1
40.90,93.80,3.40,26.70,44.60,10.20,1.75,3.70,759.00,2
29.10,79.20,3.80,12.60,29.20,-0.50,1.70,6.00,436.00,1
39.20,70.10,27.40,40.30,41.00,11.10,1.91,3.60,511.00,2
29.10,68.10,0.70,5.20,23.40,3.90,0.84,12.60,353.00,0
42.00,92.60,10.80,29.50,47.40,35.70,2.21,5.50,770.00,3
33.30,54.30,21.30,33.90,23.60,2.90,1.35,5.20,585.00,1
27.10,64.10,4.00,16.00,38.10,15.20,1.90,3.50,723.00,2
29.50,53.90,37.40,50.40,24.10,5.20,1.47,5.10,679.00,1
31.80,68.30,29.40,39.10,23.00,5.80,1.76,6.20,463.00,1
23.40,69.50,5.80,12.10,19.50,7.80,1.02,12.60,412.00,0
27.30,42.10,0.80,9.00,26.00,9.10,1.11,10.90,201.00,0
28.80,79.70,8.80,20.20,23.10,6.50,1.48,7.50,350.00,1
44.90,66.40,10.60,34.30,38.50,19.30,2.53,3.00,575.00,3
33.00,93.10,68.70,92.00,30.20,27.90,3.01,5.30,400.00,2
43.00,64.70,12.30,21.30,29.60,6.60,1.72,7.10,619.00,1
26.50,96.70,68.70,77.00,33.20,12.90,2.05,4.70,671.00,2
37.50,93.50,38.50,45.10,32.70,14.60,1.74,4.00,454.00,2
22.90,71.80,2.80,10.50,21.40,3.00,1.04,11.60,520.00,0
33.00,51.40,15.60,27.70,30.00,10.20,1.08,6.70,644.00,1
30.30,68.30,18.80,29.00,23.90,11.20,1.47,9.60,456.00,1
24.40,60.90,1.10,2.10,24.40,4.20,1.09,12.60,350.00,0
21.00,48.40,2.00,7.40,13.30,6.40,1.12,10.10,237.00,0
23.70,66.30,9.60,17.00,16.60,8.00,1.07,11.30,516.00,0
20.00,71.00,15.60,21.00,20.00,6.00,0.89,14.40,575.00,0
29.30,77.90,37.00,47.70,29.10,15.40,2.14,3.50,691.00,2
31.50,50.30,4.30,14.80,20.30,12.90,1.61,9.00,677.00,1
33.80,72.50,24.50,36.10,26.70,7.30,1.36,7.00,433.00,1
27.80,43.30,19.80,24.50,12.00,4.30,0.96,12.70,404.00,0
30.10,95.40,2.80,10.30,21.40,13.30,1.32,5.10,333.00,1
44.20,95.30,1.70,26.70,33.50,24.50,2.43,4.10,581.00,3
20.70,73.00,5.60,14.00,12.10,5.90,0.90,13.90,425.00,0
26.60,62.20,0.20,5.90,16.50,2.80,0.88,11.00,444.00,0
42.20,63.30,15.20,38.90,23.50,24.10,2.27,13.20,467.00,2
27.40,62.40,1.40,4.20,17.70,3.10,1.04,10.90,577.00,0
41.70,76.50,3.20,19.60,49.50,24.50,1.92,8.20,698.00,3
30.10,74.10,28.60,43.60,25.60,24.20,2.19,4.70,450.00,2
30.60,72.70,5.20,8.50,26.00,12.30,1.10,6.10,493.00,1
20.30,66.00,3.30,10.10,23.40,5.00,0.81,10.80,291.00,0
23.20,67.20,8.00,14.30,25.10,14.30,1.57,5.40,456.00,1
31.90,78.10,16.70,30.30,29.40,9.00,1.76,5.30,671.00,1
35.40,55.60,72.10,81.20,33.40,12.60,1.71,5.00,296.00,1
32.60,61.20,66.70,75.00,20.20,7.40,1.86,6.30,639.00,1
28.40,76.80,22.00,33.30,20.40,10.90,1.46,5.80,552.00,1
37.30,63.10,59.50,69.40,25.20,12.70,1.48,8.30,431.00,1
35.70,60.60,2.90,11.20,30.80,14.40,1.36,10.00,627.00,1
44.40,73.70,48.60,59.10,43.70,23.90,3.15,6.30,841.00,3
31.50,73.60,55.00,68.70,22.30,12.50,1.35,6.20,417.00,1
23.30,50.40,6.40,13.10,26.70,3.80,1.13,12.30,237.00,0
23.80,48.80,19.90,25.80,26.20,5.60,0.83,10.40,403.00,0
27.80,79.00,72.50,89.70,30.30,6.20,1.81,5.20,432.00,1
47.00,95.90,4.50,19.70,40.40,8.70,2.69,3.20,739.00,3
34.40,95.10,5.10,17.40,20.90,10.00,2.06,3.70,689.00,2
23.60,49.10,17.40,24.30,25.40,2.00,0.91,12.30,433.00,0
31.50,105.10,4.60,9.80,32.50,21.30,1.90,6.20,786.00,2
26.80,54.40,2.00,8.90,22.90,1.50,0.96,19.20,588.00,0
41.20,86.90,26.70,40.80,39.50,-0.20,1.62,5.60,783.00,2
25.90,68.00,6.00,9.80,26.50,7.90,1.15,10.80,575.00,0
38.10,84.30,5.40,4.60,35.00,28.20,2.68,5.10,455.00,3
31.70,88.30,13.10,26.00,33.20,18.50,2.09,4.50,722.00,2
43.50,91.70,43.60,71.40,30.70,18.70,2.92,4.70,873.00,3
30.50,87.90,28.40,38.10,29.20,15.20,1.76,5.00,496.00,1
21.80,55.60,11.20,20.60,13.50,6.40,1.05,10.80,577.00,0
24.10,45.50,31.00,35.50,18.30,4.00,0.91,10.40,396.00,0
28.40,83.90,28.40,32.20,33.50,9.00,1.74,6.00,425.00,1
26.60,42.90,6.10,9.50,25.00,4.60,1.02,10.70,221.00,0
19.20,73.80,4.10,7.20,14.30,4.00,1.10,10.70,448.00,0
42.90,58.50,35.80,48.50,33.70,23.20,2.00,5.70,455.00,2
26.00,64.60,1.10,9.20,14.10,5.20,0.72,10.10,246.00,0
24.00,67.80,1.30,7.00,15.60,3.00,0.98,12.10,415.00,0
40.00,70.30,47.80,56.70,32.40,25.10,1.71,5.50,348.00,2
23.40,50.10,17.00,23.40,28.50,10.60,0.89,10.20,200.00,0
22.60,46.80,20.50,22.90,28.30,8.70,1.03,10.90,518.00,0
37.60,94.50,17.50,42.80,37.00,19.10,2.13,3.00,602.00,3
35.30,66.80,25.80,35.60,43.00,14.60,1.96,4.80,666.00,2
32.80,82.70,4.40,11.30,27.70,11.40,1.58,5.20,322.00,1
34.70,69.90,29.70,43.70,29.50,11.60,1.60,6.90,398.00,1
31.10,59.70,29.00,47.10,24.90,10.20,2.17,4.40,822.00,2
39.40,71.00,0.60,10.80,24.70,16.20,1.25,5.00,441.00,1
41.20,78.80,30.70,32.20,42.10,19.00,2.53,5.00,635.00,2
35.00,72.30,38.40,47.60,28.40,5.50,1.24,7.60,640.00,1
26.90,72.70,7.50,24.30,23.90,15.10,1.67,5.20,454.00,1
21.80,78.40,17.00,20.60,21.20,3.30,0.92,10.20,203.00,0
34.60,81.40,21.90,32.10,29.60,1.90,1.19,6.90,512.00,1
21.10,80.40,3.70,9.60,17.60,4.50,1.00,11.30,333.00,0
23.70,62.50,3.60,8.40,20.10,2.50,0.94,10.30,314.00,0
23.80,73.70,14.00,16.60,14.50,2.30,1.17,10.20,606.00,0
35.10,80.80,47.60,59.20,27.10,12.90,1.49,6.40,611.00,1
39.80,88.80,39.50,50.10,18.80,6.90,1.38,6.00,418.00,1
22.10,58.90,4.90,11.30,21.90,4.20,1.03,10.30,324.00,0
21.90,65.20,0.50,2.00,15.40,4.40,0.81,12.70,216.00,0
27.10,66.80,11.10,15.60,16.10,5.70,0.98,11.10,346.00,0
30.90,90.80,15.00,29.60,29.00,8.30,1.38,10.30,640.00,1
25.70,50.40,2.50,14.90,33.60,10.50,1.44,7.70,600.00,1
23.60,54.10,41.90,48.40,23.50,5.30,1.02,11.20,398.00,0
41.40,86.00,25.70,35.80,39.60,4.80,1.99,6.10,449.00,2
18.90,44.50,0.20,2.70,14.50,1.50,0.92,11.50,590.00,0
31.20,62.30,29.10,39.30,22.00,10.10,1.51,5.20,571.00,1
22.60,60.00,7.40,12.90,18.80,3.90,0.89,17.10,256.00,0
40.60,76.80,39.20,60.70,33.00,18.60,1.85,3.40,686.00,2
43.70,84.20,14.90,21.40,34.10,23.90,2.01,4.50,615.00,2
30.20,96.80,47.10,76.30,34.50,18.70,2.86,5.80,582.00,3
26.30,63.50,5.10,10.90,14.60,6.40,1.13,15.90,593.00,0
22.90,67.60,4.00,9.70,24.30,5.60,0.90,13.60,422.00,0
29.00,46.00,20.30,26.80,18.90,5.70,0.72,10.60,505.00,0
37.50,92.00,29.00,38.50,33.00,25.20,1.86,8.10,339.00,2
27.90,45.80,1.70,4.80,16.10,2.40,0.95,11.80,486.00,0
24.00,39.10,5.10,14.00,14.80,2.00,1.02,10.10,242.00,0
40.50,100.20,65.00,81.40,39.10,17.10,1.60,5.90,553.00,2
26.30,64.30,73.40,81.30,11.90,3.40,0.87,10.20,390.00,0
23.50,75.80,3.80,7.70,21.10,6.90,0.82,16.90,258.00,0
43.90,80.90,4.60,15.60,37.60,21.90,2.05,5.40,387.00,2
33.30,73.00,7.00,23.00,24.20,6.60,1.83,9.10,734.00,1
22.90,51.60,3.30,7.00,12.30,5.80,0.88,12.00,349.00,0
34.20,61.20,8.90,19.00,24.60,12.60,1.41,5.10,553.00,1
52.40,102.60,204.00,221.60,44.40,12.90,3.16,3.90,588.00,3
29.10,93.20,8.00,19.30,35.60,25.80,1.72,4.20,473.00,2
25.00,69.50,4.20,9.00,28.80,5.60,1.19,10.10,232.00,0
35.10,95.20,39.80,74.70,43.30,30.70,2.55,5.20,610.00,3
31.60,82.60,34.20,38.60,20.80,7.60,1.83,10.40,477.00,1
29.90,48.10,36.20,41.40,24.80,3.30,0.91,10.90,554.00,0
26.00,69.70,13.10,17.60,18.00,2.60,1.03,11.50,245.00,0
41.60,91.40,13.00,27.30,44.60,8.70,3.35,5.20,844.00,3
36.00,87.50,1.10,21.30,43.50,1.80,2.63,4.00,514.00,3
21.80,47.60,24.30,32.40,21.50,7.50,0.96,10.80,428.00,0
29.30,52.30,22.60,31.60,25.60,7.00,1.68,6.50,508.00,1
40.50,87.40,46.90,66.70,39.00,9.20,1.83,3.30,680.00,2
37.00,61.20,44.20,56.10,21.10,5.70,1.76,9.80,465.00,2
25.80,58.80,0.30,10.30,25.00,9.90,1.62,9.90,622.00,1
26.30,86.90,4.50,22.10,37.10,11.00,2.22,5.10,556.00,2
50.70,104.90,2.40,9.50,41.70,21.50,2.34,4.30,861.00,3
22.40,42.10,1.20,9.40,25.60,8.50,0.84,11.90,485.00,0
28.80,54.30,17.30,23.20,21.20,6.80,1.10,13.00,213.00,0
33.90,76.50,3.50,8.30,21.90,10.80,1.40,5.10,345.00,1
21.60,76.50,17.50,21.60,22.20,10.50,1.03,11.30,461.00,0
28.40,82.60,2.00,14.60,27.40,3.70,1.37,5.90,339.00,1
26.60,44.80,1.80,8.30,23.10,3.60,1.09,15.90,398.00,0
26.80,60.70,28.90,33.80,26.20,3.60,0.93,11.90,411.00,0
41.20,93.00,24.20,44.30,33.90,12.60,2.09,5.30,732.00,2
31.20,64.10,28.10,36.60,22.80,13.40,1.64,6.90,634.00,1
25.70,58.70,15.90,19.20,21.90,6.30,1.03,10.30,301.00,0
29.00,80.60,0.40,23.90,30.80,9.50,2.69,3.40,656.00,3
30.20,72.30,3.40,14.20,28.20,8.50,1.84,6.90,422.00,1
39.70,59.70,51.40,60.10,23.10,16.70,1.94,3.90,484.00,2
27.90,59.20,35.90,44.90,26.10,16.40,1.31,8.30,650.00,1
28.40,57.00,5.60,11.40,23.90,4.40,0.96,11.30,370.00,0
27.30,81.70,0.40,4.00,26.10,3.90,1.07,11.30,520.00,0
35.00,80.40,6.70,30.20,48.40,14.50,1.96,5.20,747.00,2
23.00,45.50,11.10,17.60,26.90,3.50,1.17,14.50,410.00,0
27.30,77.90,20.90,33.30,32.80,9.90,1.30,7.50,580.00,1
27.00,78.60,1.80,6.30,19.40,5.10,1.00,13.00,202.00,0
36.30,99.20,13.10,34.10,34.70,21.00,2.26,4.50,742.00,2
36.60,83.60,7.40,19.40,18.40,14.70,1.48,9.10,707.00,2
36.30,59.60,30.80,35.60,41.40,10.70,1.95,3.70,617.00,2
29.20,58.30,18.10,21.80,16.90,5.30,0.98,16.00,219.00,0
28.50,62.20,84.50,102.40,24.80,0.80,1.41,5.10,287.00,1
26.10,49.90,0.00,5.90,18.70,9.70,0.82,10.40,556.00,0
24.40,71.50,12.00,19.00,20.30,3.00,0.91,13.00,473.00,0
27.10,69.30,2.00,7.70,16.00,5.00,1.07,11.10,501.00,0
22.50,68.20,2.70,11.30,20.60,6.10,0.95,10.80,530.00,0
20.90,42.40,19.60,24.70,18.20,7.00,0.83,11.90,316.00,0
31.50,70.30,19.90,38.80,21.80,6.30,1.95,6.30,707.00,2
35.50,91.00,13.10,17.20,20.70,15.10,1.99,5.40,597.00,2
27.80,72.70,9.90,16.50,16.80,7.20,1.13,11.60,589.00,0
34.40,71.70,44.00,54.60,30.60,25.90,2.41,3.40,595.00,2
25.70,58.10,7.80,11.90,21.40,3.40,1.06,21.50,589.00,0
29.40,49.70,41.20,51.60,26.50,10.40,1.47,6.90,622.00,1
30.30,78.90,5.20,8.60,12.50,6.60,0.78,11.00,403.00,0
22.00,44.10,7.50,11.50,20.00,6.40,1.03,13.30,458.00,0
27.40,51.00,7.00,16.80,26.90,4.60,1.55,11.60,436.00,1
34.90,76.90,7.50,25.20,31.40,14.40,1.43,5.00,342.00,1
26.30,58.20,10.20,24.60,23.10,9.00,1.50,6.00,345.00,1
35.20,72.00,3.60,11.40,29.40,10.20,1.39,6.50,737.00,1
57.20,80.20,47.40,56.90,43.20,24.80,2.26,3.00,876.00,3
24.40,76.80,10.10,21.30,29.10,18.00,2.17,6.80,464.00,2
29.00,57.30,6.10,9.20,17.70,4.70,0.89,10.20,600.00,0
34.70,68.80,35.10,59.40,22.70,10.30,2.33,2.60,816.00,3
22.70,64.40,14.20,22.50,21.50,8.10,1.06,12.20,389.00,0
31.40,69.80,20.40,32.00,16.30,9.70,1.49,8.00,643.00,1
38.80,65.20,3.40,14.30,33.00,15.20,1.76,3.90,526.00,2
29.50,60.80,9.60,25.00,28.50,5.90,1.58,12.10,386.00,1
38.20,63.20,37.10,49.70,32.60,26.10,2.27,7.20,590.00,2
41.40,74.50,12.00,37.60,46.80,13.80,3.61,4.30,632.00,3
24.00,68.80,0.80,8.60,20.90,2.40,1.16,10.50,235.00,0
49.50,99.90,0.80,26.10,28.80,17.10,1.80,4.80,755.00,3
25.60,77.70,34.10,39.80,18.20,2.60,1.24,10.40,380.00,0
22.70,49.70,18.40,27.10,20.40,6.00,0.92,10.50,565.00,0
34.80,87.90,90.50,108.90,45.40,21.40,2.11,3.40,521.00,3
29.10,63.60,12.30,21.10,32.00,5.10,1.53,7.40,542.00,1
39.20,57.50,122.30,134.50,41.20,10.10,2.40,3.90,730.00,2
31.70,72.40,49.30,57.30,28.10,5.20,1.31,6.60,373.00,1
34.00,60.00,28.40,38.50,26.80,14.40,2.10,3.70,391.00,2
19.50,79.50,60.50,85.90,44.00,21.90,2.68,7.50,689.00,3
35.90,66.60,27.10,49.50,36.30,15.90,1.91,5.30,426.00,2
17.40,45.80,26.60,33.00,22.00,7.30,0.97,10.80,451.00,0
34.50,80.80,10.60,18.60,32.10,18.40,2.37,6.40,763.00,2
24.70,56.30,2.00,5.50,13.90,4.10,0.89,12.20,510.00,0
26.20,79.40,9.70,14.50,26.90,7.50,1.02,10.30,322.00,0
20.80,62.70,19.40,25.80,19.50,5.80,1.11,10.40,458.00,0
20.90,74.50,1.00,8.10,10.50,1.50,0.90,10.50,278.00,0
28.40,63.80,2.80,9.70,17.60,6.20,0.91,16.50,578.00,0
39.30,59.70,78.30,94.60,42.20,17.30,2.19,3.50,582.00,2
35.50,90.90,36.70,48.40,35.80,17.50,2.23,11.80,519.00,2
20.50,52.80,7.70,12.00,14.00,7.80,1.10,10.60,320.00,0
22.10,56.20,6.80,12.70,25.40,4.00,0.93,12.50,389.00,0
21.20,40.00,2.30,6.10,15.10,6.40,1.04,15.80,481.00,0
26.10,43.60,2.80,11.00,15.40,8.70,1.08,11.20,574.00,0
30.40,103.60,17.50,40.40,24.10,-6.20,2.21,7.30,521.00,2
25.50,83.50,11.10,26.30,30.50,14.60,2.27,3.70,698.00,3
29.40,87.60,1.90,27.10,35.40,20.40,2.02,4.60,769.00,3
22.00,72.90,20.90,25.60,13.40,6.30,1.02,10.90,544.00,0
28.80,76.70,16.80,23.80,25.50,4.10,1.09,11.70,376.00,0
26.20,67.30,10.20,19.30,20.80,9.90,1.66,6.40,419.00,1
23.80,70.60,4.70,18.10,31.10,9.30,1.48,5.10,609.00,1
44.00,84.10,39.50,73.00,38.90,12.90,2.48,4.00,530.00,3
32.80,100.50,21.80,37.50,29.60,6.60,2.94,6.10,774.00,3
24.20,47.10,27.70,31.70,19.40,4.50,0.94,10.60,493.00,0
25.10,71.10,7.30,11.30,17.90,4.80,1.00,13.40,283.00,0
27.30,73.70,13.80,28.40,27.50,16.40,1.40,7.30,293.00,1
34.80,88.50,15.10,26.40,34.00,8.40,1.70,5.50,577.00,1
34.40,77.40,43.80,68.20,45.20,9.80,3.31,2.80,737.00,3
32.30,52.40,24.40,30.90,27.70,6.50,0.95,10.70,436.00,0
21.90,48.70,3.60,7.00,25.10,1.10,0.99,11.20,247.00,0
19.70,39.90,2.00,6.80,28.40,7.60,1.14,10.20,347.00,0
25.90,70.20,16.70,27.60,26.20,8.60,2.03,6.40,442.00,1
32.20,66.60,8.30,19.70,23.50,13.20,1.08,5.60,382.00,1
34.70,72.00,9.70,33.50,33.90,13.20,2.30,4.40,475.00,2
26.70,51.80,1.30,7.90,22.30,5.00,0.97,12.80,296.00,0
36.80,89.30,9.30,17.30,29.20,14.70,1.62,7.00,422.00,1
26.20,70.80,6.50,12.70,19.00,2.60,1.01,12.20,263.00,0
36.20,73.70,9.60,32.40,41.40,25.50,1.97,10.00,782.00,3
28.10,47.90,2.70,6.70,26.00,8.30,1.03,11.10,228.00,0
24.50,56.20,24.60,29.60,13.50,4.30,0.93,11.50,364.00,0
25.60,46.50,0.60,8.10,27.80,3.90,1.10,14.20,534.00,0
34.70,97.60,6.10,19.60,23.10,19.60,2.12,6.40,596.00,2
30.50,57.30,8.70,14.80,26.10,4.10,0.87,10.20,521.00,0
23.50,55.10,6.00,11.80,16.60,6.60,1.04,10.80,421.00,0
32.30,83.00,10.20,15.10,27.00,12.70,1.45,5.00,454.00,1
29.90,107.50,33.50,52.10,27.70,17.60,2.42,3.40,592.00,2
28.00,56.80,5.20,8.90,26.60,8.60,1.04,10.80,593.00,0
29.00,90.60,24.20,30.30,31.40,9.40,1.38,6.80,303.00,1
39.00,90.60,55.40,67.50,23.60,16.30,2.13,3.80,467.00,2
35.10,85.70,19.70,26.30,24.10,9.90,1.45,8.20,483.00,1
23.40,68.00,5.50,10.60,25.50,2.00,1.09,12.00,471.00,0
34.70,77.00,10.70,26.50,19.80,21.30,2.12,5.20,633.00,2
17.00,47.40,10.10,16.50,24.70,2.70,1.02,11.00,555.00,0
35.00,56.00,23.40,27.10,32.70,11.50,1.62,5.80,452.00,1
25.10,50.60,1.00,4.60,21.60,6.20,1.10,10.10,388.00,0
28.40,66.10,5.60,9.50,18.90,3.60,0.97,11.80,560.00,0
26.60,40.20,3.80,5.80,14.90,1.30,0.88,10.10,341.00,0
25.40,78.60,4.10,6.70,21.30,9.10,1.40,10.10,543.00,1
27.90,56.70,0.70,6.00,14.50,5.90,1.10,12.90,275.00,0
34.90,86.40,9.20,28.00,36.90,9.00,2.08,7.10,728.00,2
42.60,92.10,2.90,12.80,34.50,12.00,2.06,6.80,562.00,2
40.60,90.40,67.50,85.60,30.30,16.10,2.32,3.90,485.00,3
33.80,86.20,0.40,12.20,31.10,3.20,2.06,3.70,618.00,2
25.70,70.30,0.70,5.40,14.00,10.00,0.91,11.10,374.00,0
28.10,78.40,26.90,33.20,21.90,5.00,0.77,11.30,249.00,0
24.20,41.90,2.40,6.50,17.90,6.80,0.88,10.10,500.00,0
